frb_name,ra,dec,dm,snr,telescope,data_source,clean_name,is_repeater,gal_b
FRB20180725A,93.42,67.07,716.5999755859375,19.2,CHIME,Vizier_CHIME_Cat1,20180725A,False,21.289749257894236
FRB20180727A,197.72,26.42,642.0999755859375,10.4,CHIME,Vizier_CHIME_Cat1,20180727A,False,85.60346823059714
FRB20180729A,199.4,55.58,108.4000015258789,32.0,CHIME,Vizier_CHIME_Cat1,20180729A,False,61.156947226508905
FRB20180729B,89.93,56.5,318.6000061035156,12.4,CHIME,Vizier_CHIME_Cat1,20180729B,False,15.683772566555003
FRB20180730A,57.39,87.19,849.2000122070312,69.5,CHIME,Vizier_CHIME_Cat1,20180730A,False,25.108395039333278
FRB20180801A,322.53,72.72,656.7000122070312,20.4,CHIME,Vizier_CHIME_Cat1,20180801A,False,15.464458764726645
FRB20180806A,228.56,75.62,739.2000122070312,13.9,CHIME,Vizier_CHIME_Cat1,20180806A,False,38.403199334033815
FRB20180810A,101.47,34.86,415.70001220703125,13.1,CHIME,Vizier_CHIME_Cat1,20180810A,False,14.058935652610314
FRB20180810B,180.41,83.14,169.8000030517578,38.6,CHIME,Vizier_CHIME_Cat1,20180810B,False,33.815702967598206
FRB20180812A,19.33,80.78,795.7999877929688,12.5,CHIME,Vizier_CHIME_Cat1,20180812A,False,17.96295606543885
FRB20180814B,238.26,74.02,237.8000030517578,18.7,CHIME,Vizier_CHIME_Cat1,20180814B,False,37.618451479567156
FRB20180814A,65.54,73.63,190.89999389648438,11.0,CHIME,Vizier_CHIME_Cat1,20180814A,False,16.584494094260577
FRB20180817A,233.2,42.2,1002.7999877929688,45.6,CHIME,Vizier_CHIME_Cat1,20180817A,False,53.98126554017223
FRB20180904A,286.58,81.22,360.70001220703125,40.8,CHIME,Vizier_CHIME_Cat1,20180904A,False,26.22040008867924
FRB20180906A,141.48,14.29,383.29998779296875,10.5,CHIME,Vizier_CHIME_Cat1,20180906A,False,40.60626760733801
FRB20180906B,185.75,56.42,3037.699951171875,10.7,CHIME,Vizier_CHIME_Cat1,20180906B,False,60.26804490965719
FRB20180907D,328.95,89.22,1444.4000244140625,12.3,CHIME,Vizier_CHIME_Cat1,20180907D,False,26.56501850627758
FRB20180907A,320.87,29.46,875.0999755859375,15.3,CHIME,Vizier_CHIME_Cat1,20180907A,False,-14.651289208660833
FRB20180907B,4.49,19.17,658.2999877929688,15.4,CHIME,Vizier_CHIME_Cat1,20180907B,False,-42.99634390872496
FRB20180907C,41.72,77.07,638.9000244140625,11.3,CHIME,Vizier_CHIME_Cat1,20180907C,False,15.664984221271961
FRB20180907E,167.88,47.09,381.70001220703125,12.2,CHIME,Vizier_CHIME_Cat1,20180907E,False,62.03569575257152
FRB20180908B,188.22,74.19,197.3000030517578,11.3,CHIME,Vizier_CHIME_Cat1,20180908B,False,42.87610344985929
FRB20180909A,123.63,56.76,407.6000061035156,11.0,CHIME,Vizier_CHIME_Cat1,20180909A,False,33.667946480352946
FRB20180910A,352.77,88.21,684.2000122070312,36.6,CHIME,Vizier_CHIME_Cat1,20180910A,False,25.445526940723717
FRB20180911C,65.54,73.63,190.89999389648438,10.5,CHIME,Vizier_CHIME_Cat1,20180911C,False,16.584494094260577
FRB20180911A,99.55,84.62,221.60000610351562,17.5,CHIME,Vizier_CHIME_Cat1,20180911A,False,26.689663714745578
FRB20180915A,280.55,17.91,370.3999938964844,13.4,CHIME,Vizier_CHIME_Cat1,20180915A,False,10.040913099947014
FRB20180915B,225.23,25.02,176.3000030517578,12.5,CHIME,Vizier_CHIME_Cat1,20180915B,False,60.92687024823908
FRB20180916A,348.97,80.33,296.0,21.4,CHIME,Vizier_CHIME_Cat1,20180916A,False,18.22915214514387
FRB20180916B,29.5031258,65.7167542,347.79998779296875,18.7,CHIME,Vizier_CHIME_Cat1,20180916B,False,3.7250308667486434
FRB20180916C,107.15,45.08,2248.300048828125,11.1,CHIME,Vizier_CHIME_Cat1,20180916C,False,21.709135161747824
FRB20180917B,238.8,77.53,860.5,16.5,CHIME,Vizier_CHIME_Cat1,20180917B,False,35.370772645394794
FRB20180917A,65.54,73.63,194.10000610351562,19.0,CHIME,Vizier_CHIME_Cat1,20180917A,False,16.584494094260577
FRB20180918A,301.27,64.96,1454.0999755859375,14.0,CHIME,Vizier_CHIME_Cat1,20180918A,False,17.10718185876513
FRB20180919B,5.34,5.94,558.0,16.1,CHIME,Vizier_CHIME_Cat1,20180919B,False,-56.1407507280482
FRB20180919A,65.54,73.63,190.89999389648438,13.4,CHIME,Vizier_CHIME_Cat1,20180919A,False,16.584494094260577
FRB20180920A,78.89,28.29,562.9000244140625,13.5,CHIME,Vizier_CHIME_Cat1,20180920A,False,-5.86971259035717
FRB20180920B,191.09,63.52,459.3999938964844,10.5,CHIME,Vizier_CHIME_Cat1,20180920B,False,53.58998234833174
FRB20180921A,28.92,5.05,393.1000061035156,10.3,CHIME,Vizier_CHIME_Cat1,20180921A,False,-54.27157938891519
FRB20180922A,342.29,69.67,562.9000244140625,24.5,CHIME,Vizier_CHIME_Cat1,20180922A,False,9.285218260112442
FRB20180923A,327.61,71.92,218.39999389648438,16.1,CHIME,Vizier_CHIME_Cat1,20180923A,False,13.828497153311783
FRB20180923D,169.08,48.75,328.3999938964844,48.1,CHIME,Vizier_CHIME_Cat1,20180923D,False,61.62053301732656
FRB20180923C,239.14,22.85,173.10000610351562,15.0,CHIME,Vizier_CHIME_Cat1,20180923C,False,48.06414928392385
FRB20180924A,35.46,37.52,1114.5,18.2,CHIME,Vizier_CHIME_Cat1,20180924A,False,-21.960477361696014
FRB20180925A,74.93,77.99,236.1999969482422,11.3,CHIME,Vizier_CHIME_Cat1,20180925A,False,21.05490462263041
